iter	Passed	Remaining
0	0	43
1	0	39
2	1	37
3	1	34
4	1	33
5	2	33
6	2	33
7	2	32
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	5	31
14	5	30
15	5	30
16	6	30
17	6	30
18	7	29
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	28
25	9	27
26	10	27
27	10	27
28	11	27
29	11	27
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	25
36	15	25
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	24	17
58	24	17
59	25	16
60	25	16
61	26	15
62	26	15
63	26	15
64	27	14
65	28	14
66	28	14
67	29	13
68	29	13
69	29	12
70	30	12
71	30	11
72	30	11
73	31	11
74	31	10
75	32	10
76	32	9
77	32	9
78	33	8
79	33	8
80	34	7
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
